site_code,date,year,doy,stat,depth,soil_moisture
GI,2013-08-06,2013,218,avg,10cm,0.0924494
GI,2013-08-06,2013,218,avg,20cm,0.13366125
GI,2013-08-06,2013,218,avg,30cm,0.12814435000000002
GI,2013-08-07,2013,219,avg,10cm,0.08277490000000001
GI,2013-08-07,2013,219,avg,20cm,0.1255529
GI,2013-08-07,2013,219,avg,30cm,0.1091924
GI,2013-08-08,2013,220,avg,10cm,0.07976934999999999
GI,2013-08-08,2013,220,avg,20cm,0.11726915
GI,2013-08-08,2013,220,avg,30cm,0.10101394999999999
GI,2013-08-09,2013,221,avg,10cm,0.0777293
GI,2013-08-09,2013,221,avg,20cm,0.1149679
GI,2013-08-09,2013,221,avg,30cm,0.0993313
GI,2013-08-10,2013,222,avg,10cm,0.0753812
GI,2013-08-10,2013,222,avg,20cm,0.1122586
GI,2013-08-10,2013,222,avg,30cm,0.09788050000000001
GI,2013-08-11,2013,223,avg,10cm,0.16149165
GI,2013-08-11,2013,223,avg,20cm,0.17944145
GI,2013-08-11,2013,223,avg,30cm,0.1498775
GI,2013-08-12,2013,224,avg,10cm,0.14494154999999997
GI,2013-08-12,2013,224,avg,20cm,0.17237555
GI,2013-08-12,2013,224,avg,30cm,0.15385685
GI,2013-08-13,2013,225,avg,10cm,NA
GI,2013-08-13,2013,225,avg,20cm,NA
GI,2013-08-13,2013,225,avg,30cm,NA
GI,2013-08-14,2013,226,avg,10cm,NA
GI,2013-08-14,2013,226,avg,20cm,NA
GI,2013-08-14,2013,226,avg,30cm,NA
GI,2013-08-15,2013,227,avg,10cm,NA
GI,2013-08-15,2013,227,avg,20cm,NA
GI,2013-08-15,2013,227,avg,30cm,NA
GI,2013-08-16,2013,228,avg,10cm,NA
GI,2013-08-16,2013,228,avg,20cm,NA
GI,2013-08-16,2013,228,avg,30cm,NA
GI,2013-08-17,2013,229,avg,10cm,NA
GI,2013-08-17,2013,229,avg,20cm,NA
GI,2013-08-17,2013,229,avg,30cm,NA
GI,2013-08-18,2013,230,avg,10cm,NA
GI,2013-08-18,2013,230,avg,20cm,NA
GI,2013-08-18,2013,230,avg,30cm,NA
GI,2013-08-19,2013,231,avg,10cm,NA
GI,2013-08-19,2013,231,avg,20cm,NA
GI,2013-08-19,2013,231,avg,30cm,NA
GI,2013-08-20,2013,232,avg,10cm,NA
GI,2013-08-20,2013,232,avg,20cm,NA
GI,2013-08-20,2013,232,avg,30cm,NA
GI,2013-08-21,2013,233,avg,10cm,NA
GI,2013-08-21,2013,233,avg,20cm,NA
GI,2013-08-21,2013,233,avg,30cm,NA
GI,2013-08-22,2013,234,avg,10cm,NA
GI,2013-08-22,2013,234,avg,20cm,NA
GI,2013-08-22,2013,234,avg,30cm,NA
GI,2013-08-23,2013,235,avg,10cm,NA
GI,2013-08-23,2013,235,avg,20cm,NA
GI,2013-08-23,2013,235,avg,30cm,NA
GI,2013-08-24,2013,236,avg,10cm,NA
GI,2013-08-24,2013,236,avg,20cm,NA
GI,2013-08-24,2013,236,avg,30cm,NA
GI,2013-08-25,2013,237,avg,10cm,NA
GI,2013-08-25,2013,237,avg,20cm,NA
GI,2013-08-25,2013,237,avg,30cm,NA
GI,2013-08-26,2013,238,avg,10cm,NA
GI,2013-08-26,2013,238,avg,20cm,NA
GI,2013-08-26,2013,238,avg,30cm,NA
GI,2013-08-27,2013,239,avg,10cm,NA
GI,2013-08-27,2013,239,avg,20cm,NA
GI,2013-08-27,2013,239,avg,30cm,NA
GI,2013-08-28,2013,240,avg,10cm,NA
GI,2013-08-28,2013,240,avg,20cm,NA
GI,2013-08-28,2013,240,avg,30cm,NA
GI,2013-08-29,2013,241,avg,10cm,NA
GI,2013-08-29,2013,241,avg,20cm,NA
GI,2013-08-29,2013,241,avg,30cm,NA
GI,2013-08-30,2013,242,avg,10cm,NA
GI,2013-08-30,2013,242,avg,20cm,NA
GI,2013-08-30,2013,242,avg,30cm,NA
GI,2013-08-31,2013,243,avg,10cm,NA
GI,2013-08-31,2013,243,avg,20cm,NA
GI,2013-08-31,2013,243,avg,30cm,NA
GI,2013-09-01,2013,244,avg,10cm,NA
GI,2013-09-01,2013,244,avg,20cm,NA
GI,2013-09-01,2013,244,avg,30cm,NA
GI,2013-09-02,2013,245,avg,10cm,NA
GI,2013-09-02,2013,245,avg,20cm,NA
GI,2013-09-02,2013,245,avg,30cm,NA
GI,2013-09-03,2013,246,avg,10cm,NA
GI,2013-09-03,2013,246,avg,20cm,NA
GI,2013-09-03,2013,246,avg,30cm,NA
GI,2013-09-04,2013,247,avg,10cm,NA
GI,2013-09-04,2013,247,avg,20cm,NA
GI,2013-09-04,2013,247,avg,30cm,NA
GI,2013-09-05,2013,248,avg,10cm,NA
GI,2013-09-05,2013,248,avg,20cm,NA
GI,2013-09-05,2013,248,avg,30cm,NA
GI,2013-09-06,2013,249,avg,10cm,NA
GI,2013-09-06,2013,249,avg,20cm,NA
GI,2013-09-06,2013,249,avg,30cm,NA
GI,2013-09-07,2013,250,avg,10cm,NA
GI,2013-09-07,2013,250,avg,20cm,NA
GI,2013-09-07,2013,250,avg,30cm,NA
GI,2013-09-08,2013,251,avg,10cm,NA
GI,2013-09-08,2013,251,avg,20cm,NA
GI,2013-09-08,2013,251,avg,30cm,NA
GI,2013-09-09,2013,252,avg,10cm,NA
GI,2013-09-09,2013,252,avg,20cm,NA
GI,2013-09-09,2013,252,avg,30cm,NA
GI,2013-09-10,2013,253,avg,10cm,NA
GI,2013-09-10,2013,253,avg,20cm,NA
